profile_name,post_location,keyword,profile_url,post_text,post_date,post_url
Hadassah,chicago,shabat,https://www.facebook.com/Hadassah?__cft__[0]=AZW-cDCrcsCd7DPvxX7TfCi0qgHl-Z8yjkzVc4Ed2bxjWslbgLhR8NhMhb-e3Q1c8nfnHwcEB4UdU3E3M0dNu_2lIrS42tqcr9KIbwDERNFKYtBERQS3YknEKpurQ0hGmpg&__tn__=-UC%2CP-R,Shabbat Shalom from all of us at Hadassah! #ShabbatShalom,3 d,https://www.facebook.com/Hadassah/posts/547104127454997?__cft__[0]=AZW-cDCrcsCd7DPvxX7TfCi0qgHl-Z8yjkzVc4Ed2bxjWslbgLhR8NhMhb-e3Q1c8nfnHwcEB4UdU3E3M0dNu_2lIrS42tqcr9KIbwDERNFKYtBERQS3YknEKpurQ0hGmpg&__tn__=%2CO%2CP-R
Accidental Talmudist,chicago,shabat,https://www.facebook.com/accidentaltalmudist?__cft__[0]=AZUjVTvnPoBrO_CGR4z20SkiF68tUnWBuXa4JqFDmp80ZeU_q-iHj-5jfzKnLfmqAvQMIGU0NtTJkasJyxPqdKwD3kt68mWKGQQo35Hw50xVQFtzba0gTBi0eNGFButXpGg&__tn__=-UC%2CP-R,"As we roll toward this week’s finish line, I thought you’d get a kick out of a Sal-circa-80’s pic… (that’s my brother on the left)  Good Shabbos, my pals!",3 d,https://www.facebook.com/accidentaltalmudist/posts/719364149558609?__cft__[0]=AZUjVTvnPoBrO_CGR4z20SkiF68tUnWBuXa4JqFDmp80ZeU_q-iHj-5jfzKnLfmqAvQMIGU0NtTJkasJyxPqdKwD3kt68mWKGQQo35Hw50xVQFtzba0gTBi0eNGFButXpGg&__tn__=%2CO%2CP-R
Kosha Dillz,chicago,shabat,https://www.facebook.com/koshadillz?__cft__[0]=AZUacOguwnt36tT9i6zSwShLdUT__UZzjIcXIrST3Zl11QCA66ePNBpa_VYe0QaxO88c7aZiBeCXKIVjiSts9FloCZrxrndDBPrKP5l6THjAwePJr4B3duIhpZbnr9DuEFY&__tn__=-UC%2CP-R,Off to Sundance in Park City Utah   Shabbat Shalom  say it back !,3 d,https://www.facebook.com/koshadillz/posts/718640992963389?__cft__[0]=AZUacOguwnt36tT9i6zSwShLdUT__UZzjIcXIrST3Zl11QCA66ePNBpa_VYe0QaxO88c7aZiBeCXKIVjiSts9FloCZrxrndDBPrKP5l6THjAwePJr4B3duIhpZbnr9DuEFY&__tn__=%2CO%2CP-R
Rabbi Shmuley Boteach,chicago,shabat,https://www.facebook.com/RabbiShmuleyBoteach?__cft__[0]=AZVkDNYmrRaUx_wX1x81jBTjofkMD5TMSU_zGW31oV8ZB5Nwc09MHUjciky9DNUXUm01FM6NPt2Bpojn-NQjY3_2UccDdBOYdKY0QtIKIny9ogkzW5yB5YmgcKhOgvyH4ew&__tn__=-UC%2CP-R,Chabad of Venice Where I spoke on Shabbos and thank you so much Rabbi Rami and @rebbetzinunplugged,2 d,https://www.facebook.com/RabbiShmuleyBoteach/posts/738041911016908?__cft__[0]=AZVkDNYmrRaUx_wX1x81jBTjofkMD5TMSU_zGW31oV8ZB5Nwc09MHUjciky9DNUXUm01FM6NPt2Bpojn-NQjY3_2UccDdBOYdKY0QtIKIny9ogkzW5yB5YmgcKhOgvyH4ew&__tn__=%2CO%2CP-R
Israel Forever Foundation,chicago,shabat,https://www.facebook.com/IsraelForeverFoundation?__cft__[0]=AZWn5oULjU42RWrpB2YBQbc1-_qYiFFSw_u4X54LTRzHkMHT_pYzTYFFKPz8RH9mvpgTMNeLa2HzZHS6qVgEn0o_eyN3nsd6T0iYtRHyLjuwtUI_YKUIZP5iieJ9tsGwnps&__tn__=-UC%2CP-R,"Shabbat is the highlight of the #Jewish week, the day that represents not only a physical day of rest, but also a #spiritual menuchah (spiritual rest). Each week we light candles, drink wine at Kiddush, eat a festive meal and slow down our hectic lives to enjoy family and friends. We fill our #Shabbat with meaning, and delve into the depths of Torah.Throughout the year we look at the portions of the #Torah as well to study what they too can teach us about ourselves as a nati… See more",4 d,https://www.facebook.com/IsraelForeverFoundation/posts/558167979686861?__cft__[0]=AZWn5oULjU42RWrpB2YBQbc1-_qYiFFSw_u4X54LTRzHkMHT_pYzTYFFKPz8RH9mvpgTMNeLa2HzZHS6qVgEn0o_eyN3nsd6T0iYtRHyLjuwtUI_YKUIZP5iieJ9tsGwnps&__tn__=%2CO%2CP-R
Wilbur Ministries,chicago,shabat,https://www.facebook.com/PaulWilbur/?__cft__[0]=AZXTB-1-FveWOoVmN8iyf79I6Efub1D2pEIgVD8Xp1kDDRw3mkoC_4lI_ob0xDTGJOdefWKq_yGquDNkSeQ3FGz_J2eYIuiBFE7lwzMS6GHOprCDvsof6uRES7RvZzOaXex8PSVBhqH1yqEGKicJXn01&__tn__=kC%2CP-R,"This episode is a rerun as we are currently working to create new content. If you love Shabbat in Your Home or consider it your virtual congregation, please consider joining as a Shabbat in Your Home Founding Partner (https://www.wilburministries.com/.../shabbatinyourhome) and help us get this message to the nations.",3 d,https://www.facebook.com/PaulWilbur/videos/718859646467595/?__cft__[0]=AZXTB-1-FveWOoVmN8iyf79I6Efub1D2pEIgVD8Xp1kDDRw3mkoC_4lI_ob0xDTGJOdefWKq_yGquDNkSeQ3FGz_J2eYIuiBFE7lwzMS6GHOprCDvsof6uRES7RvZzOaXex8PSVBhqH1yqEGKicJXn01&__tn__=%2CO%2CP-R
Friends of the IDF (FIDF),chicago,shabat,https://www.facebook.com/FIDFNational?__cft__[0]=AZXSBbEsBz0l4fP9oIMZR-QpVZO0msaKLe6fzdhDdDE7f-MbAAB7TzAlZ78vXXtV6-VnerkGBT812Sktq4hlqryT2WBqA5YLLbcToypbK8U8t7l4eKhACteZdu5e-XMqSlU&__tn__=-UC%2CP-R,"Wishing all FIDF supporters a wonderful Shabbat full of memorable moments, friends, family, and love ",3 d,https://www.facebook.com/FIDFNational/posts/550229747137085?__cft__[0]=AZXSBbEsBz0l4fP9oIMZR-QpVZO0msaKLe6fzdhDdDE7f-MbAAB7TzAlZ78vXXtV6-VnerkGBT812Sktq4hlqryT2WBqA5YLLbcToypbK8U8t7l4eKhACteZdu5e-XMqSlU&__tn__=%2CO%2CP-R
American Friends of Magen David Adom,chicago,shabat,https://www.facebook.com/AFMDA?__cft__[0]=AZUq6hhs-brRKLWvDz1_l_dSNZj3e0Xg7uE2Xb3lsBcUZUveIVypa8pMmPzK615eFOsgRVG2akTK-ZkDoK-Qx78TVsBtrAP97JbgRLkThKAQUCOfkxGN8qwhzdk6-F7t3QQ&__tn__=-UC%2CP-R,Shabbat Shalom!,3 d,https://www.facebook.com/AFMDA/posts/555716516594328?__cft__[0]=AZUq6hhs-brRKLWvDz1_l_dSNZj3e0Xg7uE2Xb3lsBcUZUveIVypa8pMmPzK615eFOsgRVG2akTK-ZkDoK-Qx78TVsBtrAP97JbgRLkThKAQUCOfkxGN8qwhzdk6-F7t3QQ&__tn__=%2CO%2CP-R
Wilbur Ministries,chicago,shabat,https://www.facebook.com/PaulWilbur/?__cft__[0]=AZWmZO5xLboCdHo9D0QShoCPci6FeVS7LlX5iRuGH0iAvbruMAVH7sflohh1rJ8ZDDw0IiyEdynoNTRN4dMpUdzULvaUn9aWCoKZ3SNX8gKMY-COrg_63XluXEbqALgAuGGkvLopaOvwF0yyhgxPpu-x&__tn__=-UC%2CP-R,"Shabbat Shalom!Friday‘s @ 6:00 pm EDT - Shabbat in Your HomePlatforms: Facebook, YouTube, Instagram & app (iTunes or Google Play).",3 d,https://www.facebook.com/PaulWilbur/photos/a.458754197776/10160181681462777/?__cft__[0]=AZWmZO5xLboCdHo9D0QShoCPci6FeVS7LlX5iRuGH0iAvbruMAVH7sflohh1rJ8ZDDw0IiyEdynoNTRN4dMpUdzULvaUn9aWCoKZ3SNX8gKMY-COrg_63XluXEbqALgAuGGkvLopaOvwF0yyhgxPpu-x&__tn__=%2CO%2CP-R
#pakistanifashion,chicago,shabat,https://www.facebook.com/hashtag/pakistanifashion?__eep__=6&__cft__[0]=AZWW6w8UZ_KNxU09TRapkh7o3AEnIbNUaJLtigr-JcuaUvLK2q2vUmKrQLh44uU2TCNEvWC6fIsb00oJtDzLnEoJjwJ2P1NyWzZg1eDfNnkW8IM9AjjBFDYZdZwfiQRj6AM-hHiJC-TMCi2wi24TF5fa&__cft__[1]=AZWW6w8UZ_KNxU09TRapkh7o3AEnIbNUaJLtigr-JcuaUvLK2q2vUmKrQLh44uU2TCNEvWC6fIsb00oJtDzLnEoJjwJ2P1NyWzZg1eDfNnkW8IM9AjjBFDYZdZwfiQRj6AM-hHiJC-TMCi2wi24TF5fa&__tn__=KH-R,na,9 Jan,na
